Time outerCorrector residual
0.001525 11 5.7074e-07
0.00155 1 0.000384811
0.00155 2 0.00019052
0.00155 3 9.68526e-05
0.00155 4 4.99768e-05
0.00155 5 2.60184e-05
0.00155 6 1.36236e-05
0.00155 7 7.16274e-06
0.00155 8 3.77776e-06
0.00155 9 1.99781e-06
0.00155 10 1.0592e-06
0.00155 11 5.63033e-07
0.001575 1 0.000377164
0.001575 2 0.000186918
0.001575 3 9.5103e-05
0.001575 4 4.91124e-05
0.001575 5 2.5587e-05
0.001575 6 1.34068e-05
0.001575 7 7.05308e-06
0.001575 8 3.72204e-06
0.001575 9 1.96936e-06
0.001575 10 1.04461e-06
0.001575 11 5.5552e-07
0.0016 1 0.000369802
0.0016 2 0.000183443
0.0016 3 9.34111e-05
0.0016 4 4.82751e-05
0.0016 5 2.51685e-05
0.0016 6 1.31962e-05
0.0016 7 6.94651e-06
0.0016 8 3.66788e-06
0.0016 9 1.94176e-06
0.0016 10 1.03048e-06
0.0016 11 5.48242e-07
0.001625 1 0.000362716
0.001625 2 0.00018009
0.001625 3 9.17759e-05
0.001625 4 4.74646e-05
0.001625 5 2.47629e-05
0.001625 6 1.29918e-05
0.001625 7 6.84302e-06
0.001625 8 3.61522e-06
0.001625 9 1.91485e-06
0.001625 10 1.01667e-06
0.001625 11 5.41122e-07
0.00165 1 0.000355897
0.00165 2 0.000176857
0.00165 3 9.01963e-05
0.00165 4 4.66805e-05
0.00165 5 2.437e-05
0.00165 6 1.27937e-05
0.00165 7 6.74256e-06
0.00165 8 3.56412e-06
0.00165 9 1.88882e-06
0.00165 10 1.00335e-06
0.00165 11 5.34256e-07
0.001675 1 0.000349333
0.001675 2 0.000173739
0.001675 3 8.86707e-05
0.001675 4 4.59222e-05
0.001675 5 2.39896e-05
0.001675 6 1.26016e-05
0.001675 7 6.6451e-06
0.001675 8 3.51446e-06
0.001675 9 1.8634e-06
0.001675 10 9.90293e-07
0.0017 1 0.000342856
0.0017 2 0.000170643
0.0017 3 8.71479e-05
0.0017 4 4.51618e-05
0.0017 5 2.36065e-05
0.0017 6 1.24074e-05
0.0017 7 6.54625e-06
0.0017 8 3.46391e-06
0.0017 9 1.83746e-06
0.0017 10 9.76925e-07
0.001725 1 0.000337018
0.001725 2 0.000167882
0.001725 3 8.58003e-05
0.001725 4 4.44933e-05
0.001725 5 2.32718e-05
0.001725 6 1.22388e-05
0.001725 7 6.46089e-06
0.001725 8 3.42052e-06
0.001725 9 1.81531e-06
0.001725 10 9.65581e-07
0.00175 1 0.000331457
0.00175 2 0.000165253
0.00175 3 8.45179e-05
0.00175 4 4.38574e-05
0.00175 5 2.29535e-05
0.00175 6 1.20785e-05
0.00175 7 6.37977e-06
0.00175 8 3.37931e-06
0.00175 9 1.7943e-06
0.00175 10 9.54826e-07
0.001775 1 0.000326037
0.001775 2 0.000162682
0.001775 3 8.32606e-05
0.001775 4 4.32323e-05
0.001775 5 2.26399e-05
0.001775 6 1.19203e-05
0.001775 7 6.29955e-06
0.001775 8 3.33854e-06
0.001775 9 1.7736e-06
0.001775 10 9.44278e-07
0.0018 1 0.000320722
0.0018 2 0.00016015
0.0018 3 8.20172e-05
0.0018 4 4.26122e-05
0.0018 5 2.23279e-05
0.0018 6 1.17624e-05
0.0018 7 6.21934e-06
0.0018 8 3.29767e-06
0.0018 9 1.75269e-06
0.0018 10 9.33541e-07
0.001825 1 0.000315491
0.001825 2 0.000157645
0.001825 3 8.07818e-05
0.001825 4 4.19938e-05
0.001825 5 2.20157e-05
0.001825 6 1.16039e-05
0.001825 7 6.13859e-06
0.001825 8 3.25637e-06
0.001825 9 1.7315e-06
0.001825 10 9.22631e-07
0.00185 1 0.000310348
0.00185 2 0.00015517
0.00185 3 7.9557e-05
0.00185 4 4.13785e-05
0.00185 5 2.17041e-05
0.00185 6 1.14454e-05
0.00185 7 6.05757e-06
0.00185 8 3.21484e-06
0.00185 9 1.7102e-06
0.00185 10 9.11762e-07
0.001875 1 0.000305327
0.001875 2 0.000152746
0.001875 3 7.83535e-05
0.001875 4 4.07725e-05
0.001875 5 2.13966e-05
0.001875 6 1.12885e-05
0.001875 7 5.97727e-06
0.001875 8 3.1736e-06
0.001875 9 1.68896e-06
0.001875 10 9.00787e-07
0.0019 1 0.000300467
0.0019 2 0.000150395
0.0019 3 7.71841e-05
0.0019 4 4.01826e-05
0.0019 5 2.10967e-05
0.0019 6 1.11354e-05
0.0019 7 5.8988e-06
0.0019 8 3.13327e-06
0.0019 9 1.66816e-06
0.0019 10 8.90034e-07
0.001925 1 0.000295792
0.001925 2 0.000148132
0.001925 3 7.60571e-05
0.001925 4 3.96135e-05
0.001925 5 2.08073e-05
0.001925 6 1.09874e-05
0.001925 7 5.82295e-06
0.001925 8 3.09426e-06
0.001925 9 1.64805e-06
0.001925 10 8.79697e-07
0.00195 1 0.000291304
0.00195 2 0.000145958
0.00195 3 7.49741e-05
0.00195 4 3.90664e-05
0.00195 5 2.05288e-05
0.00195 6 1.0845e-05
0.00195 7 5.74991e-06
0.00195 8 3.05669e-06
0.00195 9 1.62867e-06
0.00195 10 8.69675e-07
0.001975 1 0.000286991
0.001975 2 0.000143868
0.001975 3 7.39321e-05
0.001975 4 3.85395e-05
0.001975 5 2.02604e-05
0.001975 6 1.07078e-05
0.001975 7 5.67948e-06
0.001975 8 3.02049e-06
0.001975 9 1.61002e-06
0.001975 10 8.60026e-07
0.002 1 0.000282832
0.002 2 0.00014185
0.002 3 7.29254e-05
0.002 4 3.803e-05
0.002 5 2.00007e-05
0.002 6 1.05748e-05
0.002 7 5.61121e-06
0.002 8 2.98535e-06
0.002 9 1.59188e-06
0.002 10 8.50644e-07
0.002025 1 0.000278806
0.002025 2 0.000139895
0.002025 3 7.19483e-05
0.002025 4 3.75349e-05
0.002025 5 1.9748e-05
0.002025 6 1.04453e-05
0.002025 7 5.54464e-06
0.002025 8 2.95106e-06
0.002025 9 1.57417e-06
0.002025 10 8.41474e-07
0.00205 1 0.000274899
0.00205 2 0.000137994
0.00205 3 7.09967e-05
0.00205 4 3.70519e-05
0.00205 5 1.95011e-05
0.00205 6 1.03186e-05
0.00205 7 5.47944e-06
0.00205 8 2.91743e-06
0.00205 9 1.55679e-06
0.00205 10 8.32468e-07
0.002075 1 0.000271102
0.002075 2 0.000136143
0.002075 3 7.00688e-05
0.002075 4 3.65802e-05
0.002075 5 1.92596e-05
0.002075 6 1.01945e-05
0.002075 7 5.4155e-06
0.002075 8 2.88441e-06
0.002075 9 1.53971e-06
0.002075 10 8.23608e-07
0.0021 1 0.000267412
0.0021 2 0.000134342
0.0021 3 6.91639e-05
0.0021 4 3.61195e-05
0.0021 5 1.90234e-05
0.0021 6 1.00729e-05
0.0021 7 5.3528e-06
0.0021 8 2.852e-06
0.0021 9 1.52292e-06
0.0021 10 8.14895e-07
0.002125 1 0.000263829
0.002125 2 0.000132589
0.002125 3 6.82827e-05
0.002125 4 3.56702e-05
0.002125 5 1.87928e-05
0.002125 6 9.95411e-06
0.002125 7 5.29145e-06
0.002125 8 2.82031e-06
0.002125 9 1.50651e-06
0.002125 10 8.06372e-07
